"Counties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,"1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020"
NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"Los Angeles","-999","51749","641286","1261","312579","-999","-999","57631","325389","34148","-999","991088","62475","1405870","3284673","4307211","-999","17687","925923","623610","3504600","3151141","655593","610319","1926012","1816387","2161158","519777","20925","386298","526043","30889","104491","138138","253677","5950","166684","197338","202329","26603","50623","597673","2180294","201353","1018769","-999","918246","207981","55515","46836","-999","674176","647104","267272","36643","2720","1935","4709","1459","2805","2304675","-999","2614533","615445","980945","1073511","2230730","677978","1621038","3252587","1513281","1278075","1034310","929902","1651248","643011","42883","390973","5170848","1904303","680184","221622","2901887","460951","1083152","1002657","3826175","1479589","449287","288152","86309","147615","704877","2155121","1891661","1215395","447430","202770","156670","24800","1898694","1989071","147223","11748","88346","55756","2622974","1671006","62570","199998","3716951","2086192","43998","298897","1626339","65551","370733","741986","467550","648657","157591","14227","36113","4248","12205","24362","264536","10455","3709","2340","384883","208605","944201","510010","918978","60710","223103","730012","1753447","19348","13643","12357","103500","139879","1655972","1726509","585653","18164"
"Ventura","-999","1091291","4640400","141879","1858149","-999","348017","487","25736","180599","-999","1061808","334051","1435664","474997","-999","9603","371384","921644","1458","-999","1324755","458630","21526","125247","513626","441463","18723","-999","1331118","555709","28916","49679","285145","525119","16942","138967","140858","113022","67244","135726","4133067","5994320","196135","8026","67368","-999","470430","110210","83964","38635","108416","441827","678925","287665","9022","0","10343","119681","122790","738633","1358026","1198416","121940","17265","167602","205025","2224","5199","58713","384838","640748","107545","1403041","-999","370667","78301","996091","5892123","892024","968263","4326278","6878294","241971","939315","2929111","6865629","2289636","1490897","4257991","1788353","712036","1421780","2637306","957950","6360","46824","506092","-999","238525","105276","410171","617801","2454","43354","256038","4083090","894133","844","31336","847442","484359","134987","455616","575181","17941","449789","4470246","1018139","3071","8774","271997","893061","3691","71093","557621","1378067","15917","64142","314378","2618690","45695","63063","396675","2783566","211821","115845","1259335","1937946","25071","3105","43176","2044230","1026809","9394","660027","1865213","56340"
"Los Angeles","-999","0","-999","0","-999","-999","-999","11543","13851","-999","-999","102821","46382","58493","-999","124398","-999","-999","-999","-999","-999","-999","-999","139690","160520","-999","40873","9353","0","-999","14088","9792","28525","10736","9034","168","19754","14745","-999","0","93","-999","23140","1101","12159","-999","21967","7269","93208","-999","-999","63832","118312","-999","-999","0","390","502","398","144","81870","-999","78002","174012","162444","104504","63344","64242","123116","-999","16102","49484","111210","-999","-999","101978","36809","-999","132846","127898","81507","91424","250222","34012","43517","43509","86399","64470","86831","147441","835","15622","56536","-999","15752","103942","111459","142567","-999","35258","121912","53107","29728","14032","36307","41445","116739","161094","45145","73729","141924","165718","31905","-999","28739","20050","71942","80270","30917","46052","53386","1391","589","0","508","395","2915","120","1365","754","304","388","42937","35509","31407","3417","6818","75904","48477","95","386","5154","17364","9611","44276","33811","17970","0"
"Santa Barbara","-999","4073","78543","1652","140400","-999","21834","1746","29098","10746","-999","109932","99117","262976","-999","3951","-999","21834","-999","65934","89469","72589","16596","36151","2705","30747","-999","0","-999","1620","64850","4098","21686","10386","82824","418","16802","3004","23008","12499","121791","360969","189000","2061","17725","549","26217","43411","10030","31469","8559","14119","24462","6414","1032","0","0","2973","590","833","5281","-999","96012","29885","987","920","20799","1846","1417","1227","11220","2049","2592","15872","8370","2077","809","20146","104578","49311","9691","5822","68049","14737","21008","32087","86029","29653","25269","6959","984","7137","4014","2567","32798","7741","694","13183","5994","6094","7589","8042","9798","1325","4835","10664","102149","79348","5015","9091","24871","4438","7679","59639","11464","1961","28233","94217","38689","31626","23574","28334","9513","147","4714","3869","9559","120","5430","29936","64582","5274","104475","122368","173818","8721","5506","74133","59549","6822","1402","21714","74613","60487","66324","56684","20600","275"
"Santa Barbara","-999","8319745","-999","2845391","5943760","10509822","2382665","1403822","936700","927104","2158664","1109642","1227254","2468206","2612745","450370","92158","766849","4450355","2426795","3133593","2324216","1897346","1852195","1375392","9337629","5679718","1362342","-999","10910005","8814813","1238979","354892","4453554","1828563","1391314","739141","4873559","4211576","637019","491456","9888312","4409370","1955083","95664","409971","956970","794410","349073","1094386","-999","593432","911739","2107682","1468353","14576","79353","872057","2307224","1418095","2788126","3720074","4868478","649862","153912","488726","1104163","573873","326875","776747","1722295","1393628","1057712","3275691","4495215","1857046","495398","4519941","15891885","6683999","2044610","6717993","16564885","3378923","2130350","9235000","17162215","5501167","1262253","2556017","3524778","3810855","5451480","10696700","8124520","1303191","384094","3247409","10733210","6121528","2956070","2793775","1908260","224983","671173","2330693","8870176","1599512","114587","1210367","5352844","2255672","983464","2443075","2139575","453213","1637201","8489477","6167732","1255218","340499","1298145","1594144","119542","257478","2614839","3581376","104553","857504","3619866","2586875","693050","367096","2263638","3649486","724452","749468","2626561","2081876","77957","134328","392836","919881","446061","609163","1511496","2071404","270731"
"San Francisco","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humboldt","-999","432","4222","0","-999","0","-999","2405","-999","189","1780","153","0","-999","-999","-999","-999","2102","1125","-999","-999","-999","460","306","-999","-999","873","385","-999","-999","0","-999","-999","-999","203","0","0","-999","-999","0","-999","0","3683","591","0","-999","1923","0","243","0","3357","846","-999","832","-999","450","-999","554","1721","0","126","-999","6333","4011","-999","0","2729","339","-999","0","4321","2727","0","0","1363","672","396","-999","1243","52","0","0","1821","648","711","0","3547","1051","4860","0","450","788","0","14458","967","-999","0","1057","21771","9796","2523","2752","1931","343","0","-999","1744","2060","1265","2342","4442","509","-999","531","15221","6332","-999","3425","1500","2462","0","106","-999","4380","71","140","3585","1188","-999","0","5625","1822","900","419","5263","1406","506","2364","9628","801","1074","0","1174","484","0","404","5897","4588"
"San Diego","103833","134843","-999","-999","-999","160515","181934","636657","463078","189935","1004294","870189","116907","837542","2942605","-999","-999","318","79151","-999","935516","280386","720434","4585487","-999","2854597","2187263","-999","-999","472913","305552","-999","18081","14744","152757","166748","77094","42042","1437","73765","6026","2518816","1729757","320967","485245","761439","204993","-999","-999","261791","158265","614677","301662","80018","2572","23011","1204","0","7285","1319","50357","-999","171358","1206389","321130","26659","84500","1351756","1345791","2106833","1188213","1285399","2451598","2400744","2986700","2495555","447163","878621","859886","1020189","167980","356947","181335","445578","455464","448289","302248","282896","207121","284432","14071","145482","188763","680854","231024","1381261","1929661","1500615","1862012","3152287","3233891","2141488","2091325","1223352","817649","1057103","2482353","895501","141878","274346","345547","1350471","570381","228694","36971","362924","1563130","1764450","2829274","3021438","1641606","1622826","1026533","317990","108003","479786","2282533","3963","165","307","250","10428","80414","29390","4566","115861","151379","606783","416816","167681","259730","753931","918988","72009","207679","359323","277482","334026"
"Orange","-999","20844","7771","585","-999","38952","313","13708","63589","36768","10497","18879","38624","40767","48604","-999","-999","3021","12028","-999","171710","62292","2578","298677","-999","112763","0","5234","-999","48553","38519","-999","46773","13932","18054","20741","44791","30093","0","49","171","0","953","1548","-999","680","0","-999","11218","4025","0","17673","22694","3213","0","459","0","2226","0","0","1909","464","1197","13221","9479","2537","0","22057","41487","80025","4731","67218","119177","219809","65983","196292","170116","203846","39005","81111","86585","77988","412","17834","61340","16461","465","899","2811","2543","0","1390","8342","20814","174","10984","107311","99313","0","100730","476272","450330","9739","22246","204205","437203","669045","566308","172447","229826","192012","600727","459058","393460","4840","114639","526964","536014","179018","481660","226956","282038","14185","1975","10335","7463","2180","317","2411","2989","253","3708","22786","35046","6789","3639","17113","136125","4261","2873","1050","9054","1053","1073","8315","14045","2230","1049"
