"Counties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,"1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021"
NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"Los Angeles","-999","373849","4746168","12462","2353850","-999","-999","477474","2685980","234459","-999","7565344","473279","10463181","24597960","33485305","-999","49300","6713674","4873608","26270051","23517204","5014050","4886534","14521436","14454766","16134145","4183512","164174","2860007","3932072","236106","783336","1017292","1861799","44713","1236070","1475903","1527621","199941","389151","4340595","16350336","1551562","7859292","-999","6913553","1657194","419498","272395","-999","5279065","4992929","1973542","288085","18601","18670","697","9638","20729","16627915","-999","19477091","4977300","7614213","8124678","16481256","5313095","12083255","23551315","11368200","9577825","7999306","6747176","12101581","5065094","357167","2849903","38201645","13670048","5570850","1588163","21432201","3540879","8745396","7774173","28667109","11769846","3582778","2189656","742772","1214345","5284169","15331564","13673185","9356957","3422309","1601527","1141939","233791","14317529","15108515","1081102","105714","719697","420853","19745146","13333226","504803","1458062","27177244","15948957","325905","-999","12246764","593749","3142698","5441401","3414172","5209675","1230610","89806","285113","34654","62204","193191","2038615","82860","141","10169","2976087","1734252","7368992","3739700","6807257","517065","1884879","5547648","12344385","180226","98850","1973","868781","1166940","12298589","12779669","4428182","161418","13483550","43231918","3571469","3452361"
"Ventura","-999","8232819","36260840","1041876","13903041","-999","2607640","3983","203221","1330690","-999","8264925","2619458","10836253","3557329","-999","78655","2845161","6880686","11411","-999","10225518","3331912","166312","992864","3832306","3499202","145502","-999","9994242","4177021","230145","397344","2062567","3964441","127415","1191882","1151952","857684","506180","1094093","30974041","45874991","1486343","47652","526297","-999","3699425","859638","579747","282715","872614","3325565","5086582","2174414","70518","0","74797","901999","893001","5597258","10112272","9144162","932866","127625","1246752","1503370","18245","32574","441116","2896235","4865318","804006","10701092","-999","2840569","604504","7270022","45388823","6147405","7886635","31449841","50048922","2028016","8022941","22833046","58470966","19552628","12162828","33208388","11411567","6234467","10857945","18253110","6894915","51487","371726","3970267","-999","2298150","880615","2983905","3726608","23548","386151","1604783","29891875","7642508","6410","254804","6785124","4173421","-999","3448240","-999","122458","3433745","33426226","8646072","23896","56875","2587166","7689237","33452","684812","4562655","11392626","146177","534440","2604208","18630389","304498","605328","3081326","21820694","1742129","981470","10121550","12559683","275662","25986","316888","12396857","8214385","78803","5115534","14236932","879983","2072414","9718253","-999","27491"
"Los Angeles","-999","0","-999","0","-999","-999","-999","88059","106103","-999","-999","768698","339949","417938","-999","939134","-999","22616","-999","-999","-999","-999","-999","1051617","1198756","-999","315465","76867","0","-999","100688","75639","209926","79588","67944","1277","141715","110260","-999","0","697","-999","190390","8360","88047","-999","166239","54445","684592","-999","-999","488738","897096","-999","-999","0","4322","2534","2870","1120","587275","-999","569237","1295140","1203030","-999","479667","492830","917090","-999","133833","386730","876138","-999","-999","779754","284906","-999","999703","952801","656301","649892","1875872","267302","341176","324598","641201","490777","664280","1078365","7720","119626","409532","-999","129913","769378","856458","1066997","-999","284499","943763","403449","208210","116537","283950","270094","883426","1298347","352002","548425","1068827","1283463","218133","-999","219603","159589","564348","603696","236608","372894","431890","6523","4484","0","192","2906","22500","1222","5719","4858","3059","3144","331230","262965","235003","27655","45023","560478","356646","626","2305","28949","136211","74142","336940","237732","133620","10579","137431","666835","155009","339679"
"Santa Barbara","-999","35326","590612","20347","1310960","-999","179861","17084","244140","13508","-999","891076","840817","2534146","-999","42046","-999","44633","-999","579422","876642","553856","125851","292098","21816","220021","-999","0","-999","7921","481867","31714","171303","82759","626752","3341","132529","22410","164143","97551","1033009","3207498","1534277","17927","140661","6393","162908","313347","75913","181733","67784","147726","204957","25290","5906","0","0","1738","3096","6111","40242","-999","688904","221374","5020","4520","155355","14856","6160","4301","89245","15176","11585","73689","61137","16562","3256","57611","814834","353503","78127","14132","513435","118289","179566","275582","687714","257360","253991","29949","6602","58379","34763","22945","237395","58786","667","57807","43731","45653","43316","31655","69837","10390","29358","57760","766160","650935","43536","43048","191682","40142","65599","431088","100963","14453","242228","743358","380525","235691","187341","209020","81946","943","30971","46847","119291","916","16275","236544","512378","43266","936676","907908","1406391","70381","29460","641861","431505","50127","3051","103762","541108","507362","504731","354087","179948","2927","49438","176567","409874","217768"
"Santa Barbara","-999","63955700","-999","21696988","44700696","79773373","19233387","14784970","7577438","7216174","16418899","8222418","9230940","18120846","19181755","3334111","715195","5661972","32978549","18908915","24802108","17041753","14197777","14180640","10300244","71073543","46009588","10588326","-999","86876901","69448391","9670712","2718613","32532712","13775913","10435408","5714408","36742376","32375491","4862755","3799530","72478040","33698906","14922308","753800","2843563","7028043","5772259","2701384","7866729","-999","4664036","6802781","15293979","10699161","116380","585117","6448247","17681556","10615660","20256746","26948664","36152752","4818490","1217740","3308781","7978154","4304782","2238682","5483880","12742990","10232712","7854632","23754383","33894893","13789262","3817175","32159378","126532889","50386175","15779038","50468847","126902982","26295950","16487618","67806473","132101673","43432108","9451845","19018614","25771721","27777864","40056273","76639819","63867222","9718468","3056126","23762247","81525413","44881220","22918143","19771520","13931440","1838746","5037972","17034438","66662523","12103932","738009","9005124","41237187","17522530","7036301","18166120","15126401","3647539","12926306","64028609","45480975","9641492","2664321","9639524","11748184","992170","1978211","18927756","28382990","858823","6446330","26406019","19426894","5295109","2616806","16682687","29717285","5425469","5317816","18730811","16493836","583760","952174","2811194","7700405","3328063","4331396","11110584","15712050","2238412","3351271","7054217","7632640","1570735"
"San Francisco","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humboldt","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999"
"San Diego","828111","1105299","-999","-999","-999","1303049","1386310","4664563","3499809","1472971","7691762","7016692","919205","6542828","22721348","-999","-999","2859","666830","-999","7810179","2312965","5772742","36032891","-999","21771244","16662347","-999","-999","3784137","2208811","-999","143873","118939","1215746","1340428","595630","324225","10723","569491","48509","18602264","12571650","2629062","3648976","5525322","1619449","-999","-999","2008289","1236709","4884560","2343581","615557","20393","191969","10142","0","54435","11141","407069","-999","1295576","9387673","2574117","207212","645300","10293249","10005377","15652239","8795835","9622704","18050914","17715338","21701299","18739146","3463254","6568388","6401161","7977506","1354850","2737032","1457819","3517920","3541311","3451841","2392855","2288160","1640219","2145064","110218","1169304","1485614","5184658","1716894","10759425","14814818","11313427","13929167","23771923","24748342","16103092","15766429","9506838","6245648","8000083","18392423","7016547","1188497","2214883","2639078","10478914","4455478","1854046","284453","2773149","12021912","13140426","20827668","22890209","12362690","12092744","7718199","2540778","872739","3600661","17333149","37367","2398","2363","4743","81093","641551","241147","32093","889691","1164964","4645262","3160001","1294426","2034773","5549141","6732168","573569","1615756","2837270","2128142","2601681","2242518","1071366","288056","2286209"
