"Beds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1,0,3785,0,0,-999,23349,9920,0,251447,16315,346337,294593,20314,428039,600875,-999,-999,0,0,-999,64040,4681,24583,100427,-999,81983,180555,124239,-999,72451,7392,-999,4418,5770,38842,17933,0,0,0,0,0,0,254,0,6251,-999,7697,-999,-999,355,0,32206,288,0,0,0,0,0,0,0,0,0,0,3038,477,0,0,0,0,0,22726,0,0,0,430,0,1944,0,0,25549,11687,107672,251409,433158,302357,335194,207313,289436,0,0,0,262851,232649,195803,55391,1343903,1524592,170211,417130,371144,1370053,415190,1091372,308062,0,0,0,173,864,0,0,19813,21571,0,0,0,628,2007,66440,125979,24940,8704,8834,85739,114969,71651,1294176,5421,1760,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,29877,0,0,0,0,0,0
2,258635,222562,-999,-999,-999,9766,10974,3878,107435,209552,1503184,452128,24624,740783,1317401,-999,-999,0,166700,-999,52935,18344,133172,104949,-999,736145,358264,-999,-999,42621,-999,-999,0,28704,1328,391,1368,2221,0,36846,917,2680707,1381437,305049,115805,22462,0,-999,-999,139153,9395,168434,68176,0,0,7144,0,0,54435,230,66644,-999,335700,723905,47380,13453,15074,320468,109639,385852,277240,571478,314996,592406,638527,369725,3564,50714,56264,34759,0,12074,13321,207527,145090,77133,8229,117163,314010,407343,6346,343570,601195,1014655,107574,1425734,666485,1352746,2440109,3018033,777225,1454748,2794507,815743,9764,0,121275,14757,0,270190,383869,826496,30405,373742,127834,79557,97521,385074,993461,408669,30665,410103,552332,396801,44005,1266817,4556913,8298,456,1772,181,4799,0,0,11107,396,0,49640,173996,13088,74969,298402,704384,48337,95035,363465,417770,441350,75625,20085,1797,31771
3,530999,481510,-999,-999,-999,471475,520362,1191408,1505349,1008721,4940249,2278651,413500,3341690,9248603,-999,-999,0,333726,-999,494821,106371,2038354,13513006,-999,12866500,6516774,-999,2532395,1983550,-999,-999,44787,3965,137306,442708,330718,228852,10723,274788,36952,12182074,7846771,1287868,2353853,5092682,0,-999,-999,1496054,894770,2179565,1177917,386943,-999,146779,1522,0,0,6522,233206,-999,236750,5675542,1545009,21542,479714,5800746,4810910,10346496,4919608,5451316,9671262,9999867,11971912,8037970,1101633,4039120,5382464,3669233,347609,1026096,802943,1173707,1444388,2061394,1770361,1468859,884556,1693704,103629,537604,536481,2831266,1157871,3760170,4161709,6095747,7999408,9253754,6278851,5144154,8464518,4595336,1238500,3133815,6773104,657656,11857,878614,1432267,5089601,1894042,1056302,131065,1791708,5870545,7331638,12888382,8565626,1256475,5597526,4883953,1021655,245606,877371,5792349,11188,182,0,0,51843,386134,49046,2190,593395,662628,3506558,2370747,293183,1077250,3194827,3958486,192283,555281,2042753,1599102,1410710,1025158,918141,263408,980570
4,27430,396108,-999,-999,-999,588882,605254,3081015,86912,54096,374031,1995249,232312,1246115,8264475,-999,0,0,97132,-999,2393823,554284,2213284,15894520,-999,3831522,9322645,-999,-999,1124464,1057595,-999,7790,26538,804806,794860,181807,1308,-999,225170,9487,2786699,2990411,1021311,1063458,326574,1362015,-999,-999,307539,293819,1814308,539510,128304,20393,38046,6093,0,0,4389,107219,-999,723126,2632022,622306,1840,0,3097603,3324496,2521989,2593861,2857552,5247415,3528392,7456866,6787591,519945,1450640,752549,3497537,634286,1328991,389280,1597612,1370476,618308,406952,412702,420643,38151,243,17607,39941,637570,354808,2884264,5568634,2580045,2914929,8193955,8330792,3324350,2559545,3352444,3699094,3159998,7796779,3078908,288323,141137,321977,2920078,1878965,26249,855,124065,2213237,1076247,4246459,8315534,5454427,2906029,1727375,855949,328752,840655,4543057,12058,0,591,4179,24451,103349,5598,8646,276361,456234,912994,595116,987603,882554,2055509,2069193,332949,965440,393015,109068,748010,1049120,122889,22851,1272901
5,0,0,0,0,-999,0,0,0,10221,0,0,145677,22348,2518,70494,-999,0,0,0,-999,155335,31591,1733,179739,-999,200703,58819,194039,-999,36066,44673,-999,9755,0,0,0,0,347,0,0,0,2890,0,0,2755,0,0,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,0,182,0,0,0,2949,1519,0,0,878,7143,0,28545,19214,7061,0,4263,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26731,34063,1865,0,4278,52332,49547,31124,6762,37638,32066,71452,66332,3297,0,0,0,0,0,0,0,2360,5535,10515,23199,23430,13463,2451,0,0,0,6095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669,0,0,0,0,0,0
6,11047,1031,-999,605,-999,209577,239800,388262,1528846,168673,332001,1658061,138884,767350,3139974,-999,0,0,6918,-999,3942260,1199716,1342479,5500568,-999,3375329,224444,674884,-999,149540,224978,-999,74855,53962,233464,83150,63459,69140,0,32284,1153,763802,328854,13759,101084,83604,248409,-999,-999,16673,0,279320,357890,83247,0,0,2527,0,0,0,0,-999,0,302216,270072,147626,147828,1017897,1247806,1284854,680275,495967,1254325,2215421,748013,1721296,944553,531149,51589,253734,98501,55965,484,82985,211502,308861,0,0,0,0,0,7672,66656,427735,40267,1119875,1848959,714335,157591,2430618,5369202,3261328,649308,411776,1145072,1207383,2369631,1266204,197773,860436,492425,1550443,603204,359266,24699,759628,3135927,2968090,2242708,4062144,4372122,2386073,350493,180339,139407,544167,1130069,402,0,0,383,0,46673,11039,0,3335,7356,31645,3812,0,0,403,105,0,0,580,1811,190,593,0,0,483
7,0,303,0,0,-999,0,0,0,5101,15614,190237,187578,58611,11586,64636,-999,-999,2859,52913,-999,611022,340001,18224,716409,-999,676551,846,17040,-999,354776,1134,-999,0,0,0,848,5451,12762,0,403,0,186092,23923,1075,-999,-999,1328,-999,0,48515,38725,408697,197848,17063,0,0,0,0,0,0,0,-999,0,50950,88691,22751,2684,56535,508854,1109946,302125,246391,1562038,1340925,882944,1791423,863298,477806,156435,473658,258657,202816,382,22931,66373,50951,0,0,21010,5866,0,0,8692,77629,983,198748,1001987,392122,0,486523,2457270,2337028,172282,16344,102889,411290,1095796,1698526,586601,40938,5271,16364,1498,0,0,16191,689520,1362346,379510,1380737,1199842,762923,192761,295,0,0,10490,0,0,0,0,0,105395,175464,10150,16204,38746,143085,16330,0,0,0,0,0,0,2706,391,1421,92022,10251,0,484
8,-999,1775,0,0,-999,77046,0,0,72801,6977,16498,23104,134550,146267,135627,-999,-999,2174,61694,-999,770498,492498,4548,248823,-999,230042,0,0,-999,114984,2209,-999,33482,11444,5218,37883,165512,142653,0,0,0,0,0,15715,-999,0,0,-999,24170,3802,0,123530,147445,4588,0,0,0,0,0,0,0,0,0,8728,7379,166,0,4309,10925,162481,2996,37828,239452,659095,221900,571672,760391,910853,316859,497891,514410,426193,225,107318,434349,70956,0,0,0,0,0,5750,48539,191857,1499,11512,195530,222010,0,300903,1410070,1644925,70344,39674,463424,1892439,4001991,2614093,761818,548383,814752,3151006,2800442,2018407,8459,633404,2548556,2200714,748708,1920861,872455,1266931,106510,3409,33919,1661,1228,0,660,387,0,0,16806,20307,80,1621,58086,402267,21192,451,2177,259,0,0,0,9373,481,0,608,0,0,134
